prompts,response
"Explain the consequences of voluntarily causing grievous hurt to extort property, or to constrain to an illegal act according to Indian Penal Code (IPC 1860) Section 329: Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.","{'IPC Section': '329', 'IPC Heading': 'Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act', 'IPC Descriptions': ' Indian Penal Code, 1860 \n329. Voluntarily causing grievous hurt to extort property,\nor to constrain to an illegal act\nWhoever voluntarily causes grievous hurt for the purpose of\nextorting from the sufferer or from any person interested in the sufferer any\nproperty or valuable security, or of constraining the sufferer or any person\ninterested in such sufferer to do anything that is illegal or which may\nfacilitate the commission of an offence, shall be punished with 152[imprisonment\nfor life], or imprisonment of either description for a term which may extend to\nten years, and shall also be liable to fine.', 'BNS Section': '119', 'BNS Heading': 'Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n119. Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act.\n(1) Whoever voluntarily causes hurt for the purpose of extorting from the sufferer, or from any person interested in the sufferer, any property or valuable security, or of constraining the sufferer or any person interested in such sufferer to do anything which is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.\n(2) Whoever voluntarily causes grievous hurt for any purpose referred to in subsection (1), shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.'}"
Discuss the legal implications of voluntarily causing hurt to extort confession or to compel restoration of property as outlined in Indian Penal Code (IPC 1860) Section 330: Voluntarily causing hurt to extort confession or to compel restoration of property and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '330', 'IPC Heading': 'Voluntarily causing hurt to extort confession, or to compel restoration of property', 'IPC Descriptions': ' Indian Penal Code, 1860 \n330. Voluntarily causing hurt to extort confession, or to\ncompel restoration of property\nWhoever voluntarily causes hurt for the purpose of extorting\nfrom the sufferer or from any person interested in the sufferer, any confession\nor any information which may lead to the detection of an offence or misconduct,\nor for the purpose of constraining the sufferer or any person interested in the\nsufferer to restore or to cause the restoration of any property or valuable\nsecurity or to satisfy any claim or demand, or to give information which may\nlead to the restoration of any property or valuable security, shall be punished\nwith imprisonment of either description for a term which may extend to seven\nyears, and shall also be liable to fine.\nIllustrations\n(a) A, a policeofficer, tortures Z in order to induce Z to\nconfess that he committed a crime. A is guilty of an offence under this\nsection.\n(b) A, a policeofficer, tortures B to induce him to point out\nwhere certain stolen property is deposited. A is guilty of an offence under\nthis section.\n(c) A, a revenue officer, tortures Z in order to compel him to\npay certain arrears of revenue due from Z. A is guilty of an offence under this\nsection.\n(d) A, a zamindar, tortures a raiyat in order to compel him to\npay his rent. A is guilty of an offence under this section.', 'BNS Section': '120', 'BNS Heading': 'Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n120. Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property.\n(1) Whoever voluntarily causes hurt for the purpose of extorting from the sufferer or from any person interested in the sufferer, any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.\nIllustrations.\n(a) A, a police officer, tortures Z in order to induce Z to confess that he committed a crime. A is guilty of an offence under this section.\n(b) A, a police officer, tortures B to induce him to point out where certain stolen property is deposited. A is guilty of an offence under this section.\n(c) A, a revenue officer, tortures Z in order to compel him to pay certain arrears of revenue due from Z. A is guilty of an offence under this section.\n(2) Whoever voluntarily causes grievous hurt for any purpose referred to in subsection (1), shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.'}"
"Explain the provisions for voluntarily causing grievous hurt to extort confession, or to compel restoration of property as per Indian Penal Code (IPC 1860) Section 331: Voluntarily causing grievous hurt to extort confession, or to compel restoration of property and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.","{'IPC Section': '331', 'IPC Heading': 'Voluntarily causing grievous hurt to extort confession, or to compel restoration of property', 'IPC Descriptions': ' Indian Penal Code, 1860 \n331. Voluntarily causing grievous hurt to extort\nconfession, or to compel restoration of property \nWhoever voluntarily causes grievous hurt for the purpose of\nextorting from the sufferer or from any person interested in the sufferer any\nconfession or any information which may lead to the detection of an offence or\nmisconduct, or for the purpose of constraining the sufferer or any person\ninterested in the sufferer to restore or to cause the restoration of any\nproperty or valuable security, or to satisfy any claim or demand or to give\ninformation which may lead to the restoration of any property or valuable\nsecurity, shall be punished with imprisonment of either description for a term\nwhich may extend to ten years, and shall also be liable to fine.', 'BNS Section': '120', 'BNS Heading': 'Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n120. Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property.\n(1) Whoever voluntarily causes hurt for the purpose of extorting from the sufferer or from any person interested in the sufferer, any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.\nIllustrations.\n(a) A, a police officer, tortures Z in order to induce Z to confess that he committed a crime. A is guilty of an offence under this section.\n(b) A, a police officer, tortures B to induce him to point out where certain stolen property is deposited. A is guilty of an offence under this section.\n(c) A, a revenue officer, tortures Z in order to compel him to pay certain arrears of revenue due from Z. A is guilty of an offence under this section.\n(2) Whoever voluntarily causes grievous hurt for any purpose referred to in subsection (1), shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.'}"
Discuss the consequences of voluntarily causing hurt to deter a public servant from his duty according to Indian Penal Code (IPC 1860) Section 332: Voluntarily causing hurt to deter public servant from his duty and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '332', 'IPC Heading': 'Voluntarily causing hurt to deter public servant from his duty', 'IPC Descriptions': ' Indian Penal Code, 1860 \n332. Voluntarily causing hurt to deter public servant from\nhis duty\nWhoever voluntarily causes hurt to any person being a public\nservant in the discharge of his duty as such public servant, or with intent to\nprevent or deter that person or any other public servant from discharging his\nduty as such public servant, or in consequence of anything done or attempted to\nbe done by that person in the lawful discharge of his duty as such public\nservant, shall be punished with imprisonment of either description for a term\nwhich may extend to three years, or with fine, or with both.', 'BNS Section': '121', 'BNS Heading': 'Voluntarily causing hurt or grievous hurt to deter public servant from his duty', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n121. Voluntarily causing hurt or grievous hurt to deter public servant from his duty.\n(1) Whoever voluntarily causes hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both.\n(2) Whoever voluntarily causes grievous hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which shall not be less than one year but which may extend to ten years, and shall also be liable to fine.'}"
Explain the legal implications of voluntarily causing grievous hurt to deter a public servant from his duty as outlined in Indian Penal Code (IPC 1860) Section 333: Voluntarily causing grievous hurt to deter public servant from his duty and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '333', 'IPC Heading': 'Voluntarily causing grievous hurt to deter public servant from his duty', 'IPC Descriptions': ' Indian Penal Code, 1860 \n333. Voluntarily causing grievous hurt to deter public\nservant from his duty\nWhoever voluntarily causes grievous hurt to any person being a\npublic servant in the discharge of his duty as such public servant, or with\nintent to prevent or deter that person or any other public servant from\ndischarging his duty as such public servant, or in consequence of anything done\nor attempted to be done by that person in the lawful discharge of his duty as\nsuch public servant, shall be punished with imprisonment of either description\nfor a term which may extend to ten years, and shall also be liable to fine.', 'BNS Section': '121', 'BNS Heading': 'Voluntarily causing hurt or grievous hurt to deter public servant from his duty', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n121. Voluntarily causing hurt or grievous hurt to deter public servant from his duty.\n(1) Whoever voluntarily causes hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both.\n(2) Whoever voluntarily causes grievous hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which shall not be less than one year but which may extend to ten years, and shall also be liable to fine.'}"
Discuss the provisions for voluntarily causing hurt on provocation as per Indian Penal Code (IPC 1860) Section 334: Voluntarily causing hurt on provocation and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '334', 'IPC Heading': 'Voluntarily causing hurt on provocation', 'IPC Descriptions': ' Indian Penal Code, 1860 \n334. Voluntarily causing hurt on provocation \nWhoever voluntarily causes hurt on grave and sudden provocation,\nif he neither intends nor knows himself to be likely to cause hurt to any\nperson other than the person who gave the provocation, shall be punished with\nimprisonment of either description for a term which may extend to one month, or\nwith fine which may extend to five hundred rupees, or with both.', 'BNS Section': '122', 'BNS Heading': 'Voluntarily causing hurt on provocation', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n122. Voluntarily causing hurt or grievous hurt on provocation.\n(1) Whoever voluntarily causes hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause hurt to any person other than the person who gave the provocation, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five thousand rupees, or with both.\n(2) Whoever voluntarily causes grievous hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause grievous hurt to any person other than the person who gave the provocation, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine which may extend to ten thousand rupees, or with both.\nExplanation.This section is subject to the same proviso as Exception 1 of section 101.'}"
Explain the consequences of voluntarily causing grievous hurt on provocation according to Indian Penal Code (IPC 1860) Section 335: Voluntarily causing grievous hurt on provocation and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '335', 'IPC Heading': 'Voluntarily causing grievous hurt on provocation', 'IPC Descriptions': ' Indian Penal Code, 1860 \n335. Voluntarily causing grievous hurt on provocation \nWhoever 153[voluntarily] causes grievous hurt on\ngrave and sudden provocation, if he neither intends nor knows himself to be\nlikely to cause grievous hurt to any person other than the person who gave the\nprovocation, shall be punished with imprisonment of either description for a\nterm which may extend to four years, or with fine which may extend to two\nthousand rupees, or with both.\nExplanation  The last two sections are subject to the same\nprovisos as Explanation 1, section 300.', 'BNS Section': '122', 'BNS Heading': 'Voluntarily causing grievous hurt on provocation', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n122. Voluntarily causing hurt or grievous hurt on provocation.\n(1) Whoever voluntarily causes hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause hurt to any person other than the person who gave the provocation, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five thousand rupees, or with both.\n(2) Whoever voluntarily causes grievous hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause grievous hurt to any person other than the person who gave the provocation, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine which may extend to ten thousand rupees, or with both.\nExplanation.This section is subject to the same proviso as Exception 1 of section 101.'}"
Discuss the legal implications of an act endangering life or personal safety of others as outlined in Indian Penal Code (IPC 1860) Section 336: Act endangering life or personal safety of others and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '336', 'IPC Heading': 'Act endangering life or personal safety of others', 'IPC Descriptions': ' Indian Penal Code, 1860 \n336. Act endangering life or personal safety of others \nWhoever does any act so rashly or negligently as to endanger\nhuman life or the personal safety of others, shall be punished with\nimprisonment of either description for a term which may extend to three months,\nor with fine which may extend to two hundred and fifty rupees, or with both.', 'BNS Section': '125', 'BNS Heading': 'Act endangering life or personal safety of others', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n125. Act Endangering life or personal safety of others.\nWhoever does any act so rashly or negligently as to endanger human life or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to three months or with fine which may extend to two thousand five hundred rupees, or with both, but\n(a) where hurt is caused, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to five thousand rupees, or with both;\n(b) where grievous hurt is caused, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine which may extend to ten thousand rupees, or with both.'}"
Explain the provisions for causing hurt by an act endangering life or personal safety of others as per Indian Penal Code (IPC 1860) Section 337: Causing hurt by act endangering life or personal safety of others and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '337', 'IPC Heading': 'Causing hurt by act endangering life or personal safety of others', 'IPC Descriptions': ' Indian Penal Code, 1860 \n337. Causing hurt by act endangering life or personal\nsafety of others\nWhoever causes hurt to any person by doing any act so rashly or\nnegligently as to endanger human life, or the personal safety of others, shall\nbe punished with imprisonment of either description for a term which may extend\nto six months, or with fine which may extend to five hundred rupees, or with\nboth.', 'BNS Section': '125', 'BNS Heading': 'Act endangering life or personal safety of others', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n125. Act Endangering life or personal safety of others.\nWhoever does any act so rashly or negligently as to endanger human life or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to three months or with fine which may extend to two thousand five hundred rupees, or with both, but\n(a) where hurt is caused, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to five thousand rupees, or with both;\n(b) where grievous hurt is caused, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine which may extend to ten thousand rupees, or with both.'}"
Discuss the consequences of causing grievous hurt by an act endangering life or personal safety of others according to Indian Penal Code (IPC 1860) Section 338: Causing grievous hurt by act endangering life or personal safety of others and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '338', 'IPC Heading': 'Causing grievous hurt by act endangering life or personal safety of others', 'IPC Descriptions': ' Indian Penal Code, 1860 \n338. Causing grievous hurt by act endangering life or\npersonal safety of others\nWhoever causes grievous hurt to any person to doing any act so\nrashly or negligently as to endanger human life, or the personal safety of\nothers, shall be punished with imprisonment of either description for a term\nwhich may extend to two years, or with fine which may extend to one thousand\nrupees, or with both.\nOf Wrongful Restraint and Wrongful Confinement', 'BNS Section': '125', 'BNS Heading': 'Act endangering life or personal safety of others', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n125. Act Endangering life or personal safety of others.\nWhoever does any act so rashly or negligently as to endanger human life or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to three months or with fine which may extend to two thousand five hundred rupees, or with both, but\n(a) where hurt is caused, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to five thousand rupees, or with both;\n(b) where grievous hurt is caused, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine which may extend to ten thousand rupees, or with both.'}"
Explain the legal implications of wrongful restraint as outlined in Indian Penal Code (IPC 1860) Section 339: Wrongful restraint and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '339', 'IPC Heading': 'Wrongful restraint', 'IPC Descriptions': ' Indian Penal Code, 1860 \n339. Wrongful restraint\nWhoever voluntarily obstructs any person so as to prevent that\nperson from proceeding in any direction in which that person has a right to\nproceed, is said wrongfully to restrain that person.\nException  The obstruction of a private way over land or water\nwhich a person in good faith believes himself to have a lawful right to\nobstruct, is not an offence within the meaning of this section.\nIllustration\nA obstructs a path along which Z has a right to pass. A not\nbelieving in good faith that he has a right to stop the path. Z is thereby\nprevented from passing. A wrongfully restrains Z.', 'BNS Section': '126', 'BNS Heading': 'Wrongful restraint', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\nOf wrongful restraint and wrongful confinement\n126. Wrongful restraint.\n(1) Whoever voluntarily obstructs any person so as to prevent that person from proceeding in any direction in which that person has a right to proceed, is said wrongfully to restrain that person.\nException.The obstruction of a private way over land or water which a person in good faith believes himself to have a lawful right to obstruct, is not an offence within the meaning of this section.\nIllustration.\nA obstructs a path along which Z has a right to pass, A not believing in good faith that he has a right to stop the path. Z is thereby prevented from passing. A wrongfully restrains Z.\n(2) Whoever wrongfully restrains any person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five thousand rupees, or with both.'}"
Discuss the provisions for wrongful confinement as per Indian Penal Code (IPC 1860) Section 340: Wrongful confinement and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.Explain the punishment for wrongful restraint as per Indian Penal Code (IPC 1860) Section 341: Punishment for wrongful restraint and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '340', 'IPC Heading': 'Wrongful confinement', 'IPC Descriptions': ' Indian Penal Code, 1860 \n340. Wrongful confinement \nWhoever wrongfully restrains any person in such a manner as to\nprevent that person from proceedings beyond certain circumscribing limits, is\nsaid ""wrongfully to confine"" that person.\nIllustrations\n(a) A causes Z to go within a walled space, and locks Z in. A is\nthus prevented from proceeding in any direction beyond the circumscribing line\nof wall. A wrongfully confines Z.\n(b) A places men with firearms at the outlets of a building, and\ntells Z that they will fire at Z if Z attempts to leave the building. A\nwrongfully confines Z.', 'BNS Section': '127', 'BNS Heading': 'Wrongful confinement', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n127. Wrongful confinement.\n(1) Whoever wrongfully restrains any person in such a manner as to prevent that person from proceedings beyond certain circumscribing limits, is said ""wrongfully to confine"" that person. Illustrations.\n(a) A causes Z to go within a walled space, and locks Z in. Z is thus prevented from proceeding in any direction beyond the circumscribing line of wall. A wrongfully confines Z.\n(b) A places men with firearms at the outlets of a building, and tells Z that they will fire at Z if Z attempts to leave the building. A wrongfully confines Z.\n(2) Whoever wrongfully confines any person shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to five thousand rupees, or with both.\n(3) Whoever wrongfully confines any person for three days, or more, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine which may extend to ten thousand rupees, or with both.\n(4) Whoever wrongfully confines any person for ten days or more, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine which shall not be less than ten thousand rupees.\n(5) Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter and shall also be liable to fine.\n(6) Whoever wrongfully confines any person in such manner as to indicate an intention that the confinement of such person may not be known to any person interested in the person so confined, or to any public servant, or that the place of such confinement may not be known to or discovered by any such person or public servant as hereinbefore mentioned, shall be punished with imprisonment of either description for a term which may extend to three years in addition to any other punishment to which he may be liable for such wrongful confinement and shall also be liable to fine.\n(7) Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.\n(8) Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.'}"
Discuss the Punishment for wrongful restraint according to Indian Penal Code (IPC 1860) Section341	Punishment for wrongful restraint and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '341', 'IPC Heading': 'Punishment for wrongful restraint', 'IPC Descriptions': 'Whoever, at any time after the passing of this Act, shall have been habitually associated with any other or others for the purpose of committing robbery or child-stealing by means of or accompanied with murder, is a thug.', 'BNS Section': '127', 'BNS Heading': 'Wrongful confinement', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n127. Wrongful confinement.\n(1) Whoever wrongfully restrains any person in such a manner as to prevent that person from proceedings beyond certain circumscribing limits, is said ""wrongfully to confine"" that person. Illustrations.\n(a) A causes Z to go within a walled space, and locks Z in. Z is thus prevented from proceeding in any direction beyond the circumscribing line of wall. A wrongfully confines Z.\n(b) A places men with firearms at the outlets of a building, and tells Z that they will fire at Z if Z attempts to leave the building. A wrongfully confines Z.\n(2) Whoever wrongfully confines any person shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to five thousand rupees, or with both.\n(3) Whoever wrongfully confines any person for three days, or more, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine which may extend to ten thousand rupees, or with both.\n(4) Whoever wrongfully confines any person for ten days or more, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine which shall not be less than ten thousand rupees.\n(5) Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter and shall also be liable to fine.\n(6) Whoever wrongfully confines any person in such manner as to indicate an intention that the confinement of such person may not be known to any person interested in the person so confined, or to any public servant, or that the place of such confinement may not be known to or discovered by any such person or public servant as hereinbefore mentioned, shall be punished with imprisonment of either description for a term which may extend to three years in addition to any other punishment to which he may be liable for such wrongful confinement and shall also be liable to fine.\n(7) Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.\n(8) Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.'}"
Discuss the punishment for wrongful confinement according to Indian Penal Code (IPC 1860) Section 342: Punishment for wrongful confinement and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '342', 'IPC Heading': 'Punishment for wrongful confinement', 'IPC Descriptions': 'Whoever is a thug, shall be punished with imprisonment for life, and shall also be liable to fine.', 'BNS Section': '127', 'BNS Heading': 'Wrongful confinement', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n127. Wrongful confinement.\n(1) Whoever wrongfully restrains any person in such a manner as to prevent that person from proceedings beyond certain circumscribing limits, is said ""wrongfully to confine"" that person. Illustrations.\n(a) A causes Z to go within a walled space, and locks Z in. Z is thus prevented from proceeding in any direction beyond the circumscribing line of wall. A wrongfully confines Z.\n(b) A places men with firearms at the outlets of a building, and tells Z that they will fire at Z if Z attempts to leave the building. A wrongfully confines Z.\n(2) Whoever wrongfully confines any person shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to five thousand rupees, or with both.\n(3) Whoever wrongfully confines any person for three days, or more, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine which may extend to ten thousand rupees, or with both.\n(4) Whoever wrongfully confines any person for ten days or more, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine which shall not be less than ten thousand rupees.\n(5) Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter and shall also be liable to fine.\n(6) Whoever wrongfully confines any person in such manner as to indicate an intention that the confinement of such person may not be known to any person interested in the person so confined, or to any public servant, or that the place of such confinement may not be known to or discovered by any such person or public servant as hereinbefore mentioned, shall be punished with imprisonment of either description for a term which may extend to three years in addition to any other punishment to which he may be liable for such wrongful confinement and shall also be liable to fine.\n(7) Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.\n(8) Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.'}"
Explain the legal implications of wrongful confinement for three or more days as outlined in Indian Penal Code (IPC 1860) Section 343: Wrongful confinement for three or more days and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '343', 'IPC Heading': 'Wrongful confinement for three or more days', 'IPC Descriptions': 'Whoever voluntarily causes a woman with child to miscarry, shall if such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if the woman be quick with child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. Explanations A woman who causes herself to miscarry, is within the meaning of this section.', 'BNS Section': '127', 'BNS Heading': 'Wrongful confinement', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n127. Wrongful confinement.\n(1) Whoever wrongfully restrains any person in such a manner as to prevent that person from proceedings beyond certain circumscribing limits, is said ""wrongfully to confine"" that person. Illustrations.\n(a) A causes Z to go within a walled space, and locks Z in. Z is thus prevented from proceeding in any direction beyond the circumscribing line of wall. A wrongfully confines Z.\n(b) A places men with firearms at the outlets of a building, and tells Z that they will fire at Z if Z attempts to leave the building. A wrongfully confines Z.\n(2) Whoever wrongfully confines any person shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to five thousand rupees, or with both.\n(3) Whoever wrongfully confines any person for three days, or more, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine which may extend to ten thousand rupees, or with both.\n(4) Whoever wrongfully confines any person for ten days or more, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine which shall not be less than ten thousand rupees.\n(5) Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter and shall also be liable to fine.\n(6) Whoever wrongfully confines any person in such manner as to indicate an intention that the confinement of such person may not be known to any person interested in the person so confined, or to any public servant, or that the place of such confinement may not be known to or discovered by any such person or public servant as hereinbefore mentioned, shall be punished with imprisonment of either description for a term which may extend to three years in addition to any other punishment to which he may be liable for such wrongful confinement and shall also be liable to fine.\n(7) Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.\n(8) Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.'}"
